nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId,
AG-DUKP01,2__DUKPR001,,,UK Power Reserve Limited,S,TRUE,UKPR MANW,UKPR,-20,20,C,0.0067798,-8.178,-7.236,8.178,7.236,FALSE,FALSE,_D,Merseyside and North Wales,,
AG-EEDF01,2__ELOND001,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate W Mids 1,LENCO,0,0,C,0.0150195,0,0,0,0,FALSE,FALSE,_E,Midlands,,
AG-EFLX01,2__EFLEX001,,,Flexitricity Limited,S,FALSE,2__EFLEX001,FLEXTRCY,0,49,C,0.0150195,0,0,10.29,10.29,FALSE,FALSE,_E,Midlands,,
AG-EFLX02,2__EFLEX002,,,Flexitricity Limited,S,TRUE,2__EFLEX002,FLEXTRCY,0,49,C,0.0150195,0,0,10.29,10.29,FALSE,FALSE,_E,Midlands,,
AG-EFLX03,2__EFLEX003,,,Flexitricity Limited,S,TRUE,2__EFLEX003,FLEXTRCY,0,49,C,0.0150195,0,0,0.358,0.358,FALSE,FALSE,_E,Midlands,,
AG-EFLX04,2__EFLEX004,,,Flexitricity Limited,S,TRUE,2__EFLEX004,FLEXTRCY,0,49,C,0.0150195,0,0,1.063,1.063,FALSE,FALSE,_E,Midlands,,
AG-ELIM01,2__ELIME000,,,Limejump Energy Limited,G,FALSE,2__ELIME000,ANGEL,0,26,C,0.0150195,0,0,5.46,5.46,FALSE,FALSE,_E,Midlands,,
AG-ELIM02,2__EANGE001,,,Limejump Energy Limited,S,FALSE,2__EANGE001,ANGEL,-19.86,50,C,0.0150195,-8.085,-6.77,20.355,17.045,FALSE,FALSE,_E,Midlands,,
AG-ELIM03,2__EANGE002,,,Limejump Energy Limited,S,FALSE,2__EANGE002,ANGEL,-17.9,50,C,0.0150195,-7.287,-6.102,20.355,17.045,FALSE,FALSE,_E,Midlands,,
AG-ENX00A,V__AENEL001,,,Enel X UK Limited,V,TRUE,V__AENEL001,ENOC,0,0,C,0.0092874,0,0,0,0,FALSE,FALSE,_A,Eastern GSP Group,,
AG-ERV01M,V__MEROV001,,,Erova Energy Limited,V,TRUE,V__MEROV001,EROVAIRL,0,0,C,-0.0043908,0,0,0,0,FALSE,FALSE,_M,Yorkshire,,
AG-ESMA01,2__ESMAR001,,,Smartestenergy Limited,S,TRUE,2__ESMAR001,SMARTEST,-50,50,C,0.0134244,-24.565,-22.225,24.565,22.225,FALSE,FALSE,_E,Midlands,,
AG-ESTK01,2__ESTAT001,,,Statkraft Markets Gmbh,S,TRUE,STAT_E2,STATKRA1,-2,20,C,0.0150195,-0.015,-0.017,0.154,0.172,FALSE,FALSE,_E,Midlands,,
AG-ESTK02,2__ESTAT002,,,Statkraft Markets Gmbh,S,TRUE,STAT_E3,STATKRA1,0,4,C,0.0150195,0,0,0.63,0.63,FALSE,FALSE,_E,Midlands,,
AG-ESTK03,2__ESTAT003,48W000AG-ESTK034,,Statkraft Markets Gmbh,S,TRUE,STAT_E4,STATKRA1,-2,18,C,0.0150195,-0.814,-0.682,7.328,6.136,FALSE,FALSE,_E,Midlands,,
AG-ESTK04,2__ESTAT004,,,Statkraft Markets Gmbh,S,TRUE,STAT_E5,STATKRA1,0,12.389,C,0.0150195,0,0,2.602,2.602,FALSE,FALSE,_E,Midlands,,
AG-ESTK05,2__ESTAT005,,,Statkraft Markets Gmbh,S,TRUE,STAT_E6,STATKRA1,0,20,C,0.0150195,0,0,4.2,4.2,FALSE,FALSE,_E,Midlands,,
