nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
LON-MEC01,2__CNUCE000,,,NDA,G,false,2__CNUCE000,MAGNOX,0.000,0.000,C,0.0210344,0.000,0.000,0.000,0.000,false,false,_C,London,
LON-MID01,2__CMIDE000,,,Npower Limited,G,true,NPEC London Area MIDE,NPOWER01,-4.680,0.000,C,0.0193144,-2.601,-2.742,0.000,0.000,false,false,_C,LE Distribution,
LON-MNW01,2__CMANW000,,,SP Energy Retail Ltd,G,false,2__CMANW000,SPSUP01,-1.000,0.000,C,0.0210344,-0.497,-0.439,0.000,0.000,false,false,_C,London,
LON-NEE01,2__CNEEB000,,,npower limited,G,true,2__CNEEB000,NEEB,-18.740,0.000,C,0.0193144,-12.936,-12.545,0.000,0.000,false,false,_C,LE Distribution,
LON-NPE01,2__CNATP000,,,Npower Commercial Gas Limited,G,true,NPEC London Area NATP,NPOWER02,-282.000,10.000,C,0.0210344,-193.790,-159.556,6.872,5.658,false,false,_C,London,
LON-NWP01,2__CNORW000,,,E.ON Energy Solutions Limited,G,true,2__CNORW000,PGENERGY,0.000,0.000,C,0.0163549,0.000,0.000,0.000,0.000,false,false,_C,LE Distribution,
LON-OCT01,2__CMRCY000,,,Octopus Energy Limited,G,true,2__CMRCY000,MERCURY,-269.200,0.000,C,0.0210344,-131.531,-137.857,0.000,0.000,false,false,_C,London,
LON-OGA01,2__COGAS000,,,British Gas Trading Ltd,G,true,2__COGAS000,BRITGAS,0.000,0.000,C,0.0210344,0.000,0.000,0.000,0.000,false,false,_C,London,
LON-OVO01,2__COVOE000,,,OVO Electricity Ltd,G,false,2__COVOE000,OVOE,-141.800,0.000,C,0.0210344,-69.113,-74.785,0.000,0.000,false,false,_C,London,
LON-PGE01,2__CEMEB000,,,E.ON Energy Solutions Limited,G,true,2__CEMEB000,PGENERGY,0.000,0.000,C,0.0210344,0.000,0.000,0.000,0.000,false,false,_C,London,
LON-PGU01,2__CPGEN000,,,E.ON UK plc,G,true,2__CPGEN000,POWERGEN,0.000,0.000,C,0.0210344,0.000,0.000,0.000,0.000,false,false,_C,London,
LON-RNW01,2__CRENC000,,,ECOTRICITY LIMITED,G,false,2__CRENC000,RENC,0.000,0.000,C,0.0210344,0.000,0.000,0.000,0.000,false,false,_C,London,
LON-SEE01,2__CSEEB000,,,EDF Energy Customers Limited,G,true,2__CSEEB000,LENCO,-2.000,0.000,C,0.0210344,-1.178,-0.972,0.000,0.000,false,false,_C,London,
LON-SEL01,2__CSMAR000,,,Smartestenergy Limited,G,true,2__CSMAR000,SMARTEST,-262.689,0.000,C,0.0210344,-178.182,-132.027,0.000,0.000,false,false,_C,London,
LON-SPC01,2__CSPOW000,,,SP Energy Retail Ltd,G,true,2__CSPOW000,SPSUP01,-95.400,0.000,C,0.0210344,-58.060,-55.981,0.000,0.000,false,false,_C,London,
LON-SSE01,2__CHYDE000,,,OVO Electricity Ltd,G,true,SSE SBMU1 - London GSPG,OVOE,0.000,0.000,C,0.0183342,0.000,0.000,0.000,0.000,false,false,_C,London,
LON-STH01,2__CSOUT000,,,OVO Electricity Ltd,G,true,SE SBMU1 - London GSPG,OVOE,0.000,0.000,C,0.0210344,0.000,0.000,0.000,0.000,false,false,_C,London,
LON-SWA01,2__CSWAE000,,,OVO Electricity Ltd,G,true,SWA SBMU1 - London GSPG,OVOE,0.000,0.000,C,0.0183342,0.000,0.000,0.000,0.000,false,false,_C,London,
LON-SWT01,2__CSWEB000,,,EDF Energy Customers Limited,G,true,SWEB Default BMUid LOND,LENCO,0.000,0.000,C,0.0210344,0.000,0.000,0.000,0.000,false,false,_C,London,
LON-SYM01,2__CSYMB000,,,E.ON Next Energy Ltd,G,true,2__CSYMB000,NITTWO01,0.000,0.000,C,0.0238107,0.000,0.000,0.000,0.000,false,false,_C,LE Distribution,
LON-TFE01,2__CTGPL000,,,TotalEnergies Gas & Power Ltd,G,true,2__CTGPL000,TFEGP,-349.581,8.000,C,0.0210344,-238.414,-199.786,5.456,4.572,false,false,_C,London,
LON-TIL01,2__CTILL000,,,British Gas Trading Ltd,G,true,2__CTILL000,BRITGAS,-400.035,0.000,C,0.0210344,-186.576,-198.177,0.000,0.000,false,false,_C,London,
LON-YEP01,2__CYELG000,,,npower limited,G,true,_C  Default BM London,YE,-0.032,0.000,C,0.0193144,-0.018,-0.019,0.000,0.000,false,false,_C,LE Distribution,
LRDSC-1,T_LRDSC-1,,OTHER,Statkraft Markets Gmbh,T,true,Lister Storage 1,STATKRA1,-16.382,1.003,C,0.0013166,-11.623,-11.623,0.712,0.712,false,false,,,
LRDSC-2,T_LRDSC-2,,OTHER,Statkraft Markets Gmbh,T,true,Lister Storage 2,STATKRA1,-2.500,0.792,C,0.0013166,-1.455,-1.455,0.461,0.461,false,false,,,
LSTWY-1,E_LSTWY-1,,,Conrad Energy (Trading) Ltd,E,true,Lester Way,CONRAD,-1.000,12.720,C,0.0199799,-0.400,-0.400,5.088,5.088,true,false,_H,Southern,
LUICD-1,T_LUICD-1,,,SSE Generation Ltd,T,false,Luichart Station Demand,SSEGEN,-0.100,0.000,C,-0.0301340,-0.046,-0.046,0.000,0.000,false,false,,,
MANXENR-1,E_MANXENR-1,,,Smartestenergy Limited,E,true,ENRON MANX,SMARTEST,-62.903,63.740,C,-0.0048159,-25.161,-25.161,25.496,25.496,true,false,_G,North Western,
MARK-1,E_MARK-1,48W000000MARK-1D,BIOMASS,Edgware Energy Limited,E,true,Rothes Bio-Plant CHP1,EDGWARE,-69.979,86.139,C,-0.0088069,-27.992,-27.992,34.456,34.456,true,false,_N,South Scotland,
MARMD-1,T_MARMD-1,,,EDF Energy Customers Limited,T,true,T_MARMD-1,LENCO,-8.000,0.000,C,-0.0088069,-2.106,-2.106,0.000,0.000,false,false,,,
MDHLW-1,2__PSTAT002,48W00000MDHLW-1P,WIND,Statkraft Markets Gmbh,S,true,STAT P3 North Scotland,STATKRA1,0.000,76.000,C,-0.0301340,0.000,0.000,14.440,14.440,true,false,_P,North Scotland,
MDLWH-1,E_MDLWH-1,,,Conrad Energy (Trading) Ltd,E,true,Middlewich,CONRAD,0.000,20.000,C,0.0013166,0.000,0.000,8.000,8.000,true,false,_D,Merseyside North Wales,
MEADD-1,T_MEADD-1,,,ENGIE Power Limited,T,true,Caledonian Paper,RWETDL,-50.100,22.000,C,-0.0088069,-9.860,-9.860,4.330,4.330,false,false,,,
MEDP-1,T_MEDP-1,48W000000MEDP-12,CCGT,Medway Power Ltd,T,true,Medway Power,MEDWAY,-20.000,750.000,P,0.0120522,-8.000,-8.000,300.000,300.000,true,false,,,
