nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
NEE-AXPO1,2__FAXPO000,,,AXPO UK LIMITED,G,FALSE,2__FAXPO000,EGLUK,-8,20,C,-0.0004839,3.974,4.002,-9.934,-10.004,FALSE,FALSE,_F,_F - Northern,
NSC-EDF01,2__PEDFE000,,,EDF Energy Customers Limited,G,TRUE,EDFE_North Scotland,LENCO,-52,20,C,-0.0560366,-27.404,-28.532,10.54,10.974,FALSE,FALSE,_P,NORTH of SCOTLAND GSP,
NSC-ENR01,2__PENRD000,,,British Gas Trading Ltd,G,TRUE,2__PENRD000,BRITGAS,-65.732,20,C,-0.0560366,-36.107,-26.786,10.986,8.15,FALSE,FALSE,_P,NORTH of SCOTLAND GSP,
NWP-GDF01,2__GRWED000,,,ENGIE Power Limited,G,TRUE,2__GRWED000,RWETDL,-128,20,C,0.0039537,-80.282,-71.488,12.544,11.17,FALSE,FALSE,_G,North Western,
OLDHB-1,E_OLDHB-1,,,Field Oldham Ltd,E,TRUE,Oldham BESS,FIELD,-20,20,P,0.0039537,-8,-8,8,8,TRUE,FALSE,_G,North Western,
PGBRK-1,E_PGBRKL,,,Peak Gen Top Co Limited,E,TRUE,E_PGBRKL,PEAKGEN,-2.028,20,P,0.0225389,-0.811,-0.811,8,8,TRUE,FALSE,_H,Southern,
PGFAR-1,E_PGFARE,,,Peak Gen Top Co Limited,E,TRUE,E_PGFARE,PEAKGEN,-0.5,20,P,0.0225389,-0.2,-0.2,8,8,TRUE,FALSE,_H,Southern,
PGHVT-1,E_PGHVNT,,,Peak Gen Top Co Limited,E,TRUE,E_PGHVNT,PEAKGEN,-0.5,20,P,0.0225389,-0.2,-0.2,8,8,TRUE,FALSE,_H,Southern,
RAKE-1,E_RAKE-1,,,Conrad Energy (Trading) Ltd,E,TRUE,Rake Lane,CONRAD,-1,20,C,0.0039537,-0.4,-0.4,8,8,TRUE,FALSE,_G,North Western,
RDFRB-1,E_RDFRB-1,,,Conrad Energy (Trading) Ltd,E,TRUE,Redfield Road B,CONRAD,-1,20,C,0.0149883,-0.4,-0.4,8,8,TRUE,FALSE,_B,East Midlands,
WTRLN-1,E_WTRLN-1,,,Conrad Energy (Trading) Ltd,E,TRUE,Water Lane,CONRAD,-1,20,C,0.024847,-0.4,-0.4,8,8,TRUE,FALSE,_L,South Western,
YEP-GDF01,2__MRWED000,,,ENGIE Power Limited,G,TRUE,2__MRWED000,RWETDL,-160,20,C,0.0044623,-81.2,-58.784,10.15,7.348,FALSE,FALSE,_M,Yorkshire,
YEP-OCT01,2__MMRCY000,,,Octopus Energy Limited,G,TRUE,2__MMRCY000,MERCURY,-463.032,20,C,0.0044623,-235.591,-242.675,10.176,10.482,FALSE,FALSE,_M,Yorkshire,
FFSE02,2__FFSEN007,,,F & S Energy Ltd.,S,TRUE,2__FFSENOK7,FSE0001,-21.485,19.619,C,-0.0004839,0.698,0.58,-0.638,-0.53,FALSE,FALSE,_F,_F - Northern,
MID-HPW01,2__EHPOW000,,,Drax Energy Solutions Limited,G,TRUE,2__EHPOW000,HAVEN,-251.859,19.6,C,0.0217983,-190.733,-144.718,14.843,11.262,FALSE,FALSE,_E,Midlands,
