"0, 0"
"0, 0"
"458470, 528174"
"438227, 582010"
"331300, 553400"
"400800, 576900"
"415700, 541000"
"286800, 306000"
"261752, 269577"
"543128, 292192"
"519905, 316471"
"542000, 329000"
"523939, 271933"
"519870, 339325"
"415700, 541000"
"436000, 536300"
"420928, 547703"
"439000, 530000"
"348050, 642050"
"415500, 539500"
"469500, 426500"
"290135, 703250"
"301826, 521459"
"392000, 582000"
"357000, 660000"
"404708, 550336"
"528421, 292867"
"477964, 252105"
"393797, 634046"
"439689, 408763"
"288503, 671903"
"288738, 697461"
"302205, 659690"
"234700, 867700"
"334466, 568940"
"332000, 829500"
"0, 0"
"0, 0"
"389957, 89555"
"387283, 785873"
"232030, 866235"
"375955, 771728"
"326232, 939965"
"276741, 835240"
"509793, 428825"
"191739, 58385"
"267900, 344400"
"259400, 360000"
"565242, 144832"
"272451, 686495"
"225180, 115445"
"302500, 533500"
"221183, 555886"
"480972, 437663"
"268888, 651781"
"424640, 354200"
"346153, 841867"
"613050, 275050"
"486050, 415050"
"585300, 286900"
"319000, 695100"
"545000, 279900"
"404300, 430900"
"422000, 404000"
"429850, 590374"
"520457, 409164"
"156969, 556595"
"257085, 56194"
"156969, 556595"
"488447, 266932"
"64846, 584768"
"373287, 393037"
"64846, 584768"
"224103, 210103"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"225500, 209500"
"225230, 209760"
"281000, 280000"
"364000, 862000"
"269652, 688422"
"132500, 846500"
"278550, 907550"
"225679, 810840"
"279021, 635662"
"261117, 642821"
"266606, 686412"
"475377, 431986"
"223370, 595995"
"275154, 638500"
"332888, 371036"
"284619, 362203"
"284700, 361300"
"348635, 376504"
"261500, 602500"
"368000, 667000"
"367000, 667500"
"318400, 855900"
"311505, 840495"
"318500, 850500"
"370540, 786500"
"368562, 672486"
"265160, 596516"
"336790, 203067"
"355189, 130227"
"413653, 235615"
"497983, 279596"
"229006, 92956"
"453510, 164953"
"377194, 88984"
"459052, 218811"
"538495, 348945"
"334899, 98840"
"551252, 272416"
"434623, 140438"
"440233, 297103"
"192864, 66586"
"607018, 222279"
"0, 0"
"0, 0"
"417714, 95129"
"0, 0"
"484594, 215796"
"313746, 107938"
"473845, 244756"
"454513, 373909"
"584858, 166460"
"455811, 219330"
"196092, 197842"
"260904, 212664"
"312392, 197842"
"610220, 315069"
"0, 0"
"177775, 47586"
"301187, 84681"
"452614, 90511"
"597181, 132855"
"580664, 175335"
"466600, 384353"
"463453, 141758"
"265957, 200658"
"231509, 58873"
"190875, 200362"
"0, 0"
"291347, 206062"
"416833, 331778"
"467120, 379462"
"460619, 372696"
"0, 0"
