companyName,siteName,technology,type,chp,primaryFuel,secondaryFuel,installedCapacity,gridConnectionType,country,region,postcode,osReference,Easting,Northing,yearCommissioned,lat,lon,relevantBMU1,relevantBMU2,relevantBMU3,relevantBMU4,relevantBMU5,relevantBMU6
Scottish Power,East Anglia One,Wind,Offshore,No,Wind,,714,HV,England,East of England,,,,,2019,,,,,,,,
RWE Npower,Kings Lynn,Fossil Fuel,CCGT,No,Natural Gas,,395,LV,England,East of England,PE343RD,,,,1997,,,,,,,,
Intergen,Spalding Expansion OCGT ,Fossil Fuel,CCGT,,Natural Gas,,300,,England,East Midlands,PE11 3BB,,,,2019,,,,,,,,
Greencoat Capital,South Kyle,Wind,Onshore,No,Wind,,240,,Scotland,Scotland,,,,,2023,,,,,,,,
RES Group,Beinneun Wind Farm,Wind,Onshore,No,Wind,,108.8,LV,Scotland,Scotland,IV637YV,,,,2017,,,,,,,,
River Nene,Heartlands,Fossil Fuel,Single cycle,,Natural Gas,,100,,England,West Midlands,B249FQ,,,,1998,,,,,,,,
Community Wind Power,Aikengall IIA,Wind,Onshore,No,Wind,,81.7,,Scotland,Scotland,,,,,2021,,,,,,,,
The Banks Group,Kype Extension Wind Farm,Wind,Onshore,No,Wind,,67.2,,Scotland,Scotland,ML10 6RE,,,,2024,,,,,,,,
Community Wind Power,Aikengall II,Wind,Onshore,No,Wind,,60.8,,Scotland,Scotland,,,,,2017,,,,,,,,
Scottish Power,Beinn an Tuirc III,Wind,Onshore,No,Wind,,49.95,,Scotland,Scotland,IV19 1LH,,,,2021,,,,,,,,
Greencoat Capital,Glen Kyllachy,Wind,Onshore,No,Wind,,48.5,HV,Scotland,Scotland,,,,,2021,,,,,,,,
Community Wind Power,Aikengall,Wind,Onshore,No,Wind,,48,,Scotland,Scotland,,,,,2009,,,,,,,,
RES Group,Crossdykes Wind Farm,Wind,Onshore,No,Wind,,48,,Scotland,Scotland,DG11 2QL ,,,,2021,,,,,,,,
