companyName,siteName,technology,type,chp,primaryFuel,secondaryFuel,installedCapacity,gridConnectionType,country,region,postcode,osReference,Easting,Northing,yearCommissioned,lat,lon,relevantBMU1,relevantBMU2,relevantBMU3,relevantBMU4,relevantBMU5,relevantBMU6
Fred Olsen Renewables,Rothes,Wind,Onshore,No,Wind,,50.6,LV,Scotland,Scotland,,,318400.0,855900.0,2004,57.58572176,-3.36644052,,,,,,
Fred Olsen Renewables,Rothes II,Wind,Onshore,No,Wind,,41.4,LV,Scotland,Scotland,,,318500.0,850500.0,2013,57.53724853,-3.36295579,,,,,,
EPR,EPR Scotland Ltd,Bioenergy,Bioenergy,No,Biomass,Oil,12.5,HV,Scotland,Scotland,KY50HR,,319000.0,695100.0,2000,56.14169436,-3.30510928,,,,,,
Temporis Capital,Tullymurdoch,Wind,Onshore,No,Wind,,14.4,LV,Scotland,Scotland,PH118LH,,319575.0,752228.0,2018,56.65489734,-3.31341464,,,,,,
Venitent Energy Services,Westfield,Wind,Onshore,No,Wind,,10,LV,Scotland,Scotland,KY50HJ,,319640.0,695487.0,2013,56.14527875,-3.29492986,,,,,,
RES Group,Hill of Towie Wind Farm (GB),Wind,Onshore,No,Wind,,48.3,LV,Scotland,Scotland,AB556YU,,320000.0,860000.0,2012,57.62282583,-3.34104328,,,,,,
Orsted,Walney 04,Wind,Offshore,No,Wind,,329,HV,England,North West,,,320039.0,464000.0,2018,54.06571876,-3.223261,,,,,,
EDF Energy,Hinkley Point B,Nuclear,AGR,No,Nuclear,,965,HV,England,South West,TA51UD,,320959.0,143307.0,1976,51.18350311,-3.13226764,,,,,,
Greencoat Capital,Errol,Solar,PV,No,Solar,,12.99942,LV,Scotland,Scotland,PH27NL,,321840.0,721031.0,2016,56.37508161,-3.26709385,,,,,,
SSE Group,Drumderg Windfarm,Wind,Onshore,No,Wind,,36.8,LV,Scotland,Scotland,,NO180538,324500.0,748500.0,2008,56.62223532,-3.23201428,,,,,,
RWE Npower,Camster,Wind,Onshore,No,Wind,,50,LV,Scotland,Scotland,,,325800.0,947400.0,2013,58.40863676,-3.27152122,,,,,,
Eneco Wind UK,Burn of Whilk,Wind,Onshore,No,Wind,,22.5,LV,Scotland,Scotland,,ND293407,326232.0,939965.0,2015,58.34195063,-3.26174396,,,,,,
RWE Npower,Markinch,Bioenergy,Bioenergy,Yes,Biomass,,65,LV,Scotland,Scotland,KY76GU,,327988.0,701561.0,2014,56.2011729,-3.16225648,,,,,,
Uniper UK,Connahs Quay,Fossil Fuel,CCGT,No,Sour Gas,,1380,HV,Wales,Wales,CH54BP,,328878.0,368331.0,1996,53.20728358,-3.06632553,,,,,,
RWE Npower,Bowbeat (Emly Bank) - RO,Wind,Onshore,No,Wind,,15.6,LV,Scotland,Scotland,,,329600.0,647500.0,2002,55.71579014,-3.12213749,,,,,,
Temporis Capital,Craig,Wind,Onshore,No,Wind,,10,HV,Scotland,Scotland,DG130NZ,,331995.0,586055.0,2007,55.16412216,-3.06899427,,,,,,
EDF Energy,Dorenell,Wind,Onshore,No,Wind,,177,HV,Scotland,Scotland,AB554DT,,332000.0,829500.0,2018,57.35088525,-3.13168206,,,,,,
RES Group,Earlseat Wind Farm (GB),Wind,Onshore,No,Wind,,16,LV,Scotland,Scotland,HY14TQ,,332961.0,698416.0,2013,56.17364966,-3.08132625,,,,,,
RWE Npower,Bowbeat (Roughside) - RO,Wind,Onshore,No,Wind,,15.6,LV,Scotland,Scotland,,,333000.0,646200.0,2002,55.70459433,-3.06771187,,,,,,
Calon Energy,Severn Power Ltd,Fossil Fuel,CCGT,No,Natural Gas,,850,LV,England,0,,,333250.0,185006.0,2010,51.55996863,-2.96428603,,,,,,
Greencoat Capital,Stroupster,Wind,Onshore,No,Wind,,29.9,LV,Scotland,Scotland,,,334250.0,966250.0,2015,58.57925147,-3.13238287,,,,,,
Greencoat Capital,Langhope Rig,Wind,Onshore,No,Wind,,16.4,LV,Scotland,Scotland,,,340519.0,615032.0,2013,55.42556285,-2.94136338,,,,,,
EDF Energy,Heysham 2,Nuclear,AGR,No,Nuclear,,1240,HV,England,North West,LA32XH,,341498.0,461449.0,1988,54.04568501,-2.89493708,,,,,,
EDF Energy,Heysham 1,Nuclear,AGR,No,Nuclear,,1060,HV,England,North West,LA32XH,,341498.0,461449.0,1983,54.04568501,-2.89493708,,,,,,
Co-owned by SSE Group and Cheung Kong Infrastructure Ltd,Seabank Power Ltd,Fossil Fuel,CCGT,No,Natural Gas,,1234,HV,England,South West,,,343425.0,161749.0,2000,51.35198362,-2.8137977,T_SEAB-1,T_SEAB-2,,,,
SSE Group,Beatrice Offshore windfarm,Wind,Offshore,No,Wind,,588,HV,Scotland,Scotland,,ND500486,344074.0,911416.0,2018,58.08821465,-2.95016244,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,,
Scottish Power,Dun Law I,Wind,Onshore,No,Wind,,17.16,LV,Scotland,Scotland,TD26RA,,344600.0,657500.0,2000,55.8075777,-2.88545326,,,,,,
SSE Group,Kirkwall,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,16,HV,Scotland,Scotland,KW151AN,,344667.0,1010985.0,1952,58.9824051,-2.96435466,,,,,,
SSE Group,Toddleburn Windfarm,Wind,Onshore,No,Wind,,27.6,HV,Scotland,Scotland,,NT433499,345050.0,653150.0,2010,55.76854969,-2.87739519,,,,,,
Engie Power,Cairnborrow Wind Energy Ltd,Wind,Onshore,No,Wind,,10.25,HV,Scotland,Scotland,AB544XP,,346153.0,841867.0,2017,57.46385334,-2.89924054,,,,,,
Scottish Power,Dun Law II,Wind,Onshore,No,Wind,,29.75,HV,Scotland,Scotland,TD26RA,,346582.0,657530.0,2009,55.808071,-2.85384149,,,,,,
EDF Energy,Longpark,Wind,Onshore,No,Wind,,38,LV,Scotland,Scotland,TD12SW,,348050.0,642050.0,2009,55.66915931,-2.8274732,,,,,,
Vattenfall,Clashindarroch,Wind,Onshore,No,Wind,,36.9,HV,Scotland,Scotland,,,348214.0,839951.0,2015,57.4468853,-2.86448366,,,,,,
Intergen,Rocksavage Power Company Ltd ,Fossil Fuel,CCGT,No,Natural Gas,,810,HV,England,North West,,,352414.0,377661.0,1998,53.29377446,-2.71537072,,,,,,
